TT  PID  AT  CT  IO_D  WT  RT  TRT
1996   219    1425   259    0   312   -1   571
1996   204    943   286    0   767   187   1053
1996   209    1136   230    0   630   1   860
2009   20    36   282    0   1691   275   1973
2086   39    63   150    0   1873   315   2023
2150   12    19   253    12   1878   0   2131
2160   213    1172   195    0   793   -1   988
2160   228    2044   116    0   0   -1   116
2160   205    958   163    0   1039   1038   1202
2160   226    2018   141    0   1   1   142
2163   85    128   259    0   1776   266   2035
2251   71    106   171    0   1974   106   2145
2284   90    134   232    36   1918   7   2150
2297   104    155   181    0   1961   150   2142
2319   151    217   194    0   1908   96   2102
2363   25    39   258    0   2066   8   2324
2374   44    72   265    0   2037   216   2302
2403   33    54   192    6   2157   8   2349
2416   115    172   187    0   2057   134   2244
2461   7    11   237    0   2213   0   2450
2483   234    2301   183    0   -1   -1   182
2483   235    2306   177    0   0   -1   177
2483   236    2327   157    0   -1   -1   156
2483   232    2270   212    0   1   1   213
2489   170    250   153    0   2086   149   2239
2492   2    7   220    0   2265   0   2485
2497   230    2204   88    0   205   -1   293
2497   231    2212   76    0   209   -1   285
2497   233    2288   195    0   14   1   209
2497   227    2032   128    0   337   128   465
2502   17    33   133    0   2336   355   2469
2515   60    96   192    0   2227   280   2419
2530   107    161   198    0   2171   15   2369
2533   101    151   200    0   2182   30   2382
2560   229    2198   90    0   272   4   362
2593   103    153   210    0   2230   37   2440
2611   137    196   298    0   2117   207   2415
2654   176    259   217    0   2178   9   2395
2710   10    17   295    0   2398   0   2693
2713   121    174   203    0   2336   51   2539
2720   134    192   167    0   2361   197   2528
2733   98    146   217    0   2370   8   2587
2736   241    2682   54    0   0   1   54
2736   240    2587   148    0   1   1   149
2744   242    2731   5    0   8   8   13
2770   177    262   253    0   2255   197   2508
2771   141    200   172    0   2399   190   2571
2824   158    231   225    0   2368   111   2593
2869   64    99   232    44   2538   138   2770
2879   238    2520   170    0   189   45   359
2882   37    60   208    0   2614   19   2822
2887   130    187   263    0   2437   257   2700
2895   180    267   245    0   2383   435   2628
2955   164    237   229    0   2489   529   2718
3020   244    2879   146    0   -5   -1   141
3020   135    193   296    0   2531   288   2827
3025   237    2485   204    0   336   1   540
3044   239    2541   19    0   484   484   503
3047   51    82   282    0   2683   16   2965
3054   78    117   270    0   2667   773   2937
3057   63    98   290    0   2669   41   2959
3116   245    3052   63    0   1   1   64
3119   47    77   252    0   2790   392   3042
3131   178    265   279    0   2587   195   2866
3179   246    3161   17    0   1   1   18
3179   247    3171   8    0   0   -1   8
3179   243    2796   83    0   300   1   383
3190   73    110   252    0   2828   91   3080
3218   119    173   264    0   2781   251   3045
3261   174    255   295    0   2711   376   3006
3271   21    36   293    0   2942   512   3235
3271   131    187   233    0   2851   329   3084
3284   127    182   281    0   2821   464   3102
3288   72    108   293    0   2887   279   3180
3294   92    137   278    0   2879   21   3157
3312   35    58   296    0   2958   248   3254
3331   52    84   293    0   2954   23   3247
3352   168    246   284    0   2822   121   3106
3415   55    90   285    0   3040   9   3325
3475   87    130   258    0   3087   309   3345
Processes: 247
Avg WT: 825.846,  Avg RT: 104.704, Avg TRT: 974.385
Migration %: RTF:21.0526% MaxW: 218.219%
Work Steal % : 29.1498%
Forked Process % : 7.69231%
Killed process % : 16.1943%

Processors: 12 [2 FCFS, 4 SJF, 4 RR, 2EDF]
Processors Load
P1=0.800671%, P2=1.09942%, P3=1.18709%, P4=1.15925%, P5=1.11438%, P6=1.131%, P7=N/A, P8=N/A, P9=N/A, P10=N/A, P11=0.301654%, P12=0.122157%, 
Processors Util
P1=60.1248%, P2=82.5585%, P3=88.8923%, P4=87.0515%, P5=83.6817%, P6=84.692%, P7=90.0316%, P8=82.739%, P9=87.0515%, P10=86.0208%, P11=22.78%, P12=9.27737%, 
Avg Util: 71%
Percentage of processes completed before their expected deadline: 7.28745%
