TT  PID  AT  CT  IO_D  WT  RT  TRT
1158   49    71   218    0   869   151   1087
1164   122    167   207    28   790   15   997
1168   99    135   87    0   946   46   1033
1225   196    1185   177    0   -137   -1   40
1225   197    1189   46    0   -10   -1   36
1225   198    1206   156    0   -137   -1   19
1225   194    1147   78    0   0   10   78
1225   176    899   111    0   215   215   326
1235   105    148   162    0   925   482   1087
1272   195    1185   50    0   37   42   87
1272   199    1227   45    0   0   -1   45
1272   200    1241   31    0   0   -1   31
1272   84    110   266    14   896   212   1162
1272   184    1032   47    0   193   193   240
1293   192    1135   19    0   139   139   158
1314   26    34   149    0   1131   3   1280
1362   183    1024   208    0   130   130   338
1399   100    136   207    61   1056   146   1263
1464   81    106   142    76   1216   5   1358
1516   127    172   155    82   1189   397   1344
1516   118    157   141    52   1218   287   1359
1516   206    1414   102    0   0   -1   102
1516   207    1424   92    0   0   -1   92
1516   205    1411   105    0   0   -1   105
1516   203    1398   117    0   1   1   118
1516   125    170   263    0   1083   118   1346
1516   201    1363   151    0   2   1   153
1516   202    1394   121    0   1   1   122
1527   14    24   223    0   1280   262   1503
1530   18    28   196    0   1306   264   1502
1565   72    101   268    0   1196   199   1464
1573   33    39   145    0   1389   11   1534
1583   65    92   87    47   1404   476   1491
1617   210    1520   98    0   -1   -1   97
1617   212    1522   96    0   -1   -1   95
1617   209    1519   98    0   0   1   98
1617   208    1495   121    0   1   1   122
1624   55    79   157    0   1388   19   1545
1688   86    113   208    30   1367   180   1575
1709   217    1619   90    0   0   -1   90
1709   219    1643   76    0   -10   -1   66
1709   215    1565   112    0   32   -1   144
1709   214    1542   134    0   33   1   167
1709   213    1527   90    0   92   92   182
1719   211    1520   104    0   95   -1   199
1719   204    1409   107    0   203   108   310
1736   32    39   299    0   1398   12   1697
1753   98    135   180    28   1438   65   1618
1783   222    1747   37    0   -1   -1   36
1783   225    1765   19    0   -1   -1   18
1783   223    1751   33    0   -1   -1   32
1783   224    1759   25    0   -1   -1   24
1783   221    1736   47    0   0   1   47
1783   82    106   220    70   1457   635   1677
1783   220    1722   61    0   0   1   61
1783   218    1635   74    0   74   74   148
1801   6    16   204    0   1581   0   1785
1811   128    173   270    0   1368   133   1638
1819   60    88   262    0   1469   106   1731
1831   58    86   242    0   1503   387   1745
1864   9    19   275    0   1570   0   1845
1876   116    155   194    0   1527   415   1721
1893   228    1802   91    0   0   -1   91
1893   231    1863   32    0   -2   -1   30
1893   232    1876   20    0   -3   -1   17
1893   233    1883   13    0   -3   -1   10
1893   227    1798   96    0   -1   -1   95
1893   230    1856   39    0   -2   1   37
1893   229    1827   67    0   -1   1   66
1893   226    1783   110    0   0   1   110
1893   216    1567   110    0   216   216   326
1897   108    149   231    0   1517   479   1748
1912   88    115   235    0   1562   193   1797
1935   107    149   192    0   1594   236   1786
1965   89    116   251    0   1598   391   1849
2015   63    89   275    38   1651   22   1926
2029   39    53   186    0   1790   402   1976
2078   54    76   213    0   1789   391   2002
2114   92    121   272    0   1721   197   1993
Processes: 233
Avg WT: 300.627,  Avg RT: 67.1502, Avg TRT: 430.571
Migration %: RTF:12.0172% MaxW: 94.4206%
Work Steal % : 5.5794%
Forked Process % : 9.44206%
Killed process % : 29.1845%

Processors: 13 [3 FCFS, 4 SJF, 3 RR, 3EDF]
Processors Load
P1=1.40745%, P2=1.58189%, P3=1.59784%, P4=1.63771%, P5=1.55996%, P6=1.45131%, P7=1.65964%, P8=N/A, P9=N/A, P10=N/A, P11=0.170449%, P12=0.38376%, P13=0.282089%, 
Processors Util
P1=70.2837%, P2=78.0236%, P3=78.0809%, P4=81.498%, P5=77.3604%, P6=73.7589%, P7=82.8771%, P8=88.4672%, P9=92.4593%, P10=82.7075%, P11=8.49057%, P12=19.1162%, P13=14.3364%, 
Avg Util: 64%
Percentage of processes completed before their expected deadline: 5.15021%
