TT  PID  AT  CT  IO_D  WT  RT  TRT
468   111    193   269    0   6   219   275
468   146    247   116    0   105   11   221
468   288    209   160    0   99   39   259
468   110    192   124    0   152   11   276
468   98    175   47    0   246   61   293
468   231    383   72    0   13   11   85
468   173    288   170    0   10   10   180
475   215    354   50    0   71   11   121
478   256    428   41    0   9   9   50
482   112    193   151    0   138   42   289
485   208    342   37    0   106   54   143
494   234    389   51    0   54   54   105
516   136    231   92    0   193   -1   285
528   26    47   75    0   406   55   481
536   115    196   43    0   297   41   340
538   258    430   44    0   64   64   108
638   320    523   116    0   -1   -1   115
638   108    189   58    0   391   43   449
638   28    49   104    0   485   105   589
638   149    252   253    0   133   -1   386
638   251    420   188    0   30   -1   218
638   153    254   261    0   123   -1   384
638   181    301   57    0   280   -1   337
638   259    432   88    0   118   -1   206
638   189    314   125    0   199   34   324
638   130    223   237    0   178   -1   415
638   95    169   176    0   293   -1   469
638   19    35   68    0   535   103   603
638   240    401   226    0   11   -1   237
638   159    264   34    60   340   96   374
638   176    295   43    0   300   173   343
638   248    416   66    0   156   -1   222
638   150    253   29    0   356   -1   385
638   255    427   52    0   159   -1   211
638   83    147   104    0   387   -1   491
638   316    494   143    0   1   -1   144
638   304    348   266    0   24   -1   290
638   260    434   183    0   21   -1   204
638   257    430   223    0   -15   -1   208
638   302    300   168    0   170   169   338
638   195    325   279    0   34   10   313
638   318    510   128    0   0   1   128
638   315    492   145    0   1   1   146
649   317    499   139    0   11   -1   150
649   314    434   202    0   13   -1   215
649   326    639   65    0   -55   -1   10
649   184    305   104    0   240   -1   344
649   15    29   156    0   464   18   620
649   322    618   198    0   -167   -1   31
649   324    635   180    0   -166   -1   14
649   321    616   199    0   -166   1   33
649   312    431   205    0   13   179   218
649   244    410   215    0   24   11   239
651   242    406   123    0   122   122   245
662   62    112   132    0   418   9   550
687   174    291   54    0   342   10   396
725   67    119   64    0   542   257   606
746   331    678   71    0   -3   -1   68
746   169    276   236    0   234   -1   470
746   97    174   137    0   435   427   572
746   168    275   136    0   335   10   471
746   90    161   169    26   416   501   585
746   194    323   215    5   208   314   423
746   332    699   51    0   -4   -1   47
746   81    144   261    0   341   -1   602
746   206    340   202    0   204   365   406
746   252    422   248    0   76   229   324
746   334    711   44    0   -9   -1   35
746   330    667   82    0   -3   1   79
746   328    656   90    0   0   3   90
746   296    255   105    0   386   386   491
757   201    331   35    0   391   325   426
774   4    11   250    0   513   0   763
778   160    265   44    0   469   246   513
795   141    239   144    0   412   412   556
821   156    259   40    31   522   108   562
821   340    777   143    0   -99   -1   44
821   341    780   41    0   0   -1   41
821   54    92   100    0   629   347   729
821   237    394   139    0   288   307   427
821   214    352   153    0   316   351   469
821   148    251   285    0   285   399   570
821   343    794   30    0   -3   -1   27
821   345    808   15    0   -2   -1   13
821   325    638   209    0   -26   108   183
821   342    791   32    0   -2   1   30
821   339    772   50    0   -1   1   49
821   171    282   75    0   464   375   539
821   338    758   64    0   -1   -1   63
821   202    332   230    0   259   11   489
821   336    752   69    0   0   1   69
821   329    657   75    0   89   89   164
826   209    345   82    0   399   342   481
856   319    519   120    0   217   -1   337
856   327    644   102    0   110   -1   212
856   333    703   47    0   106   5   153
869   53    92   115    0   662   10   777
881   13    26   145    22   710   359   855
881   344    796   28    0   57   44   85
885   187    311   122    0   452   286   574
885   183    303   203    0   379   -1   582
885   144    243   284    0   358   -1   642
885   247    414   97    0   374   9   471
920   235    389   270    0   261   216   531
920   349    854   133    0   -67   -1   66
920   350    858   129    0   -67   -1   62
920   347    826   81    0   13   -1   94
920   21    41   246    0   633   617   879
920   220    358   229    0   333   -1   562
920   200    330   246    0   344   -1   590
920   84    148   183    7   589   11   772
920   337    755   165    0   0   66   165
920   323    634   182    0   104   16   286
942   356    923   168    0   -149   -1   19
942   358    927   164    0   -149   -1   15
942   223    365   65    0   512   274   577
962   177    297   185    19   480   171   665
962   253    422   230    0   310   249   540
962   93    164   56    0   742   70   798
962   114    194   54    0   714   42   768
962   52    90   82    0   790   46   872
962   16    29   163    0   770   535   933
962   163    271   200    0   491   9   691
962   360    949   13    0   0   -1   13
962   361    951   11    0   0   -1   11
962   335    727   28    0   207   207   235
994   151    253   78    0   663   346   741
1077   243    408   75    0   594   139   669
1083   359    942   148    0   -7   -1   141
1083   353    884   199    0   0   -1   199
1083   246    411   158    0   514   153   672
1083   249    417   94    0   572   157   666
1083   222    362   222    0   499   433   721
1083   228    376   232    0   475   -1   707
1083   362    968   202    0   -87   -1   115
1083   354    899   261    0   -77   -1   184
1083   355    912   178    0   -7   1   171
1083   346    821   190    0   72   79   262
1083   196    327   209    0   547   311   756
1083   224    368   261    0   454   531   715
1083   352    883   208    0   -8   79   200
1083   348    837   199    0   47   47   246
1102   368    1101   44    0   -43   -1   1
1102   351    866   15    0   221   221   236
1144   357    925   158    0   61   165   219
1144   36    65   212    0   867   855   1079
1144   365    1091   53    0   0   11   53
1144   364    1085   227    0   -168   -1   59
1144   139    237   227    0   680   848   907
1144   366    1095   49    0   0   1   49
1144   363    1084   59    0   1   1   60
1154   367    1099   3    0   52   52   55
1179   27    48   120    0   1011   490   1131
1193   70    124   237    0   832   279   1069
1218   158    261   108    0   849   335   957
1233   193    323   57    8   853   285   910
1283   376    1174   109    0   0   -1   109
1283   17    32   285    15   966   898   1251
1283   374    1172   111    0   0   -1   111
1283   377    1178   105    0   0   -1   105
1283   375    1172   112    0   -1   -1   111
1283   371    1163   119    0   1   1   120
1283   372    1165   118    0   0   1   118
1283   370    1154   128    0   1   1   129
1286   212    349   108    0   829   254   937
1288   221    361   109    0   818   222   927
1350   204    334   127    0   889   273   1016
1405   386    1362   43    0   0   -1   43
1405   388    1374   32    0   -1   1   31
1405   385    1360   45    0   0   1   45
1405   384    1348   56    0   1   1   57
1419   79    140   84    0   1195   416   1279
1419   58    101   256    0   1062   956   1318
1419   389    1396   10    0   13   -1   23
1419   383    1340   63    0   16   1   79
1424   72    129   165    0   1130   9   1295
1445   213    349   277    0   819   260   1096
1445   133    227   182    0   1036   337   1218
1445   188    313   84    0   1048   327   1132
1445   38    67   76    0   1302   78   1378
1445   216    356   271    0   818   9   1089
1445   199    330   70    0   1045   325   1115
1445   378    1314   88    0   43   1   131
1529   394    1452   77    0   0   -1   77
1529   152    253   175    0   1101   411   1276
1529   178    300   176    0   1053   19   1229
1529   229    379   121    45   1029   213   1150
1529   400    1513   17    0   -1   1   16
1529   397    1480   49    0   0   1   49
1529   393    1446   82    0   1   1   83
1572   381    1327   75    0   170   -1   245
1572   402    1542   31    0   -1   -1   30
1572   382    1330   74    0   168   -1   242
1572   396    1454   199    0   -81   -1   118
1572   392    1425   228    0   -81   -1   147
1572   403    1546   182    0   -156   -1   26
1572   404    1550   23    0   -1   -1   22
1572   405    1552   177    0   -157   -1   20
1572   387    1368   36    0   168   -1   204
1572   401    1535   193    0   -156   1   37
1572   398    1481   49    0   42   1   91
1572   391    1423   229    0   -80   1   149
1572   395    1453   199    0   -80   76   119
1572   369    1113   128    0   331   41   459
1572   379    1318   85    0   169   1   254
1572   380    1322   82    0   168   124   250
1572   373    1168   116    0   288   118   404
1572   390    1410   241    0   -79   1   162
1572   399    1488   43    0   41   41   84
1572   161    266   264    12   1042   394   1306
1609   103    184   189    0   1236   456   1425
1665   239    400   275    0   990   603   1265
1714   230    381   89    65   1244   184   1333
1738   142    241   172    0   1325   425   1497
1796   140    239   190    0   1367   582   1557
1809   254    425   79    0   1305   171   1384
1827   415    1728   254    0   -155   -1   99
1827   411    1716   206    0   -95   -1   111
1827   420    1792   241    0   -206   -1   35
1827   410    1714   113    0   0   -1   113
1827   413    1725   103    0   -1   -1   102
1827   417    1736   92    0   -1   -1   91
1827   416    1734   188    0   -95   -1   93
1827   419    1787   246    0   -206   -1   40
1827   409    1713   268    0   -154   1   114
1827   407    1709   114    0   4   5   118
1827   408    1710   113    0   4   4   117
1897   211    347   146    0   1404   355   1550
1918   190    316   79    0   1523   286   1602
1976   218    357   226    0   1393   349   1619
1984   186    308   233    0   1443   22   1676
1997   164    272   180    0   1545   17   1725
2057   192    320   216    0   1521   539   1737
2143   425    1906   226    0   11   1   237
2143   426    1908   224    0   11   -1   235
2143   422    1844   240    0   59   1   299
2143   424    1846   237    0   60   -1   297
2143   421    1841   242    0   60   1   302
2143   406    1702   207    0   234   13   441
2143   414    1726   256    0   161   101   417
2143   423    1845   239    0   59   48   298
2318   434    2253   65    0   0   -1   65
2318   435    2272   46    0   0   -1   46
2318   433    2233   84    0   1   1   85
2323   418    1776   255    0   292   2   547
2358   439    2335   211    0   -188   -1   23
2358   412    1717   110    0   531   490   641
2386   440    2358   238    0   -210   -1   28
2386   441    2359   237    0   -210   -1   27
2386   428    2022   263    0   101   1   364
2420   113    193   269    0   1958   408   2227
2546   438    2327   219    0   0   -1   219
2546   431    2099   187    0   260   -1   447
2546   436    2324   221    0   1   1   222
2573   225    370   210    0   1993   396   2203
2613   217    357   173    0   2083   1325   2256
2742   445    2569   174    0   -1   -1   173
2742   442    2556   186    0   0   1   186
2742   437    2326   219    0   197   197   416
2753   429    2042   244    0   467   1   711
2776   430    2047   238    0   491   311   729
2796   175    294   247    0   2255   16   2502
2884   448    2777   152    0   -45   -1   107
2884   451    2803   127    0   -46   -1   81
2884   454    2869   74    0   -59   -1   15
2884   455    2874   69    0   -59   -1   10
2884   453    2865   77    0   -58   1   19
2884   427    1998   276    0   610   11   886
2884   452    2845   97    0   -58   -1   39
2884   449    2780   104    0   0   58   104
2884   432    2209   108    0   567   567   675
2918   50    85   169    46   2664   42   2833
2930   450    2790   94    0   46   -1   140
2930   447    2763   167    0   0   121   167
2930   446    2756   173    0   1   1   174
3063   458    2912   151    0   0   -1   151
3063   461    2935   130    0   -2   -1   128
3063   462    2943   122    0   -2   -1   120
3063   197    327   291    29   2445   757   2736
3063   198    327   255    0   2481   1449   2736
3063   460    2931   133    0   -1   1   132
3063   457    2912   152    0   -1   18   151
3063   456    2901   162    0   0   1   162
3063   443    2564   178    0   321   320   499
3195   469    3083   113    0   -1   -1   112
3195   466    3079   117    0   -1   -1   116
3195   468    3083   111    0   1   -1   112
3195   471    3180   103    0   -88   -1   15
3195   465    3074   121    0   0   1   121
3195   459    2921   130    0   144   142   274
3195   464    3067   127    0   1   1   128
3252   94    167   265    0   2820   68   3085
3254   127    222   245    0   2787   600   3032
3255   250    418   297    26   2540   603   2837
3275   227    373   234    35   2668   713   2902
3362   107    186   298    0   2878   49   3176
3381   245    411   281    0   2689   262   2970
3392   119    203   236    0   2953   45   3189
3395   472    3291   129    0   -25   -1   104
3395   477    3322   73    0   0   -1   73
3395   474    3293   127    0   -25   -1   102
3395   463    2944   138    0   313   338   451
3395   473    3293   101    0   1   1   102
3404   444    2568   175    0   661   186   836
3405   205    337   259    0   2809   370   3068
3413   478    3326   87    0   0   -1   87
3413   476    3318   95    0   0   -1   95
3413   475    3299   95    0   19   19   114
3416   481    3369   27    0   20   -1   47
3416   480    3363   33    0   20   1   53
3416   479    3346   49    0   21   1   70
3416   77    136   293    0   2987   510   3280
3489   78    137   227    0   3125   1503   3352
3502   470    3171   112    0   219   111   331
3502   467    3081   114    0   307   88   421
Processes: 481
Avg WT: 252.684,  Avg RT: 87.4844, Avg TRT: 380.025
Migration %: RTF:3.9501% MaxW: 55.0936%
Work Steal % : 24.5322%
Forked Process % : 9.35551%
Killed process % : 26.8191%

Processors: 11 [4 FCFS, 4 SJF, 1 RR, 2EDF]
Processors Load
P1=1.30531%, P2=1.29984%, P3=1.354%, P4=1.24623%, P5=1.2878%, P6=1.08922%, P7=1.20902%, P8=1.17456%, P9=N/A, P10=0.277364%, P11=0.152085%, 
Processors Util
P1=77.9229%, P2=75.6929%, P3=79.9677%, P4=74.1295%, P5=73.1965%, P6=63.2064%, P7=68.5909%, P8=68.8803%, P9=93.0204%, P10=15.9284%, P11=8.99094%, 
Avg Util: 63%
Percentage of processes completed before their expected deadline: 2.7027%
